ID,EN_TITLE,JP_TITLE,CLEAN_TITLE,LANGUAGE,ARTIST,GROUP_NAME,CATEGORY,PARODY,CHARACTER,TAGS,PAGES,UPLOAD_DATE,FORMATTED_DATE,SCRAPED_DATE
315141,（周5）重考生 1-50 中文翻译（更新中）,,（周5）重考生 1-50 中文翻译（更新中）,"translated, chinese",,,manga,,,"full censorship, story arc, full color, webtoon",314,2020-06-01 02:55:46,2020-06-01 09:55:46,2025-03-04 11:56:23
315142,由莉的秘密1-65 中文翻译 （完结）,,由莉的秘密1-65 中文翻译 （完结）,"translated, chinese",,,manga,,,"maid, big breasts, group, full censorship, story arc, cheating, prostitution, anal, ffm threesome, defloration, full color, fingering, rape, teacher, blowjob, webtoon",346,2020-06-01 04:08:35,2020-06-01 11:08:35,2025-03-04 11:56:24
315143,(C96) [k.nock in a wedge (k.nock)] TRINITY CROSSFIRE (Yu-Gi-Oh! ZEXAL),(C96) [k.nock in a wedge (k.nock)] TRINITY CROSSFIRE (遊☆戯☆王ZEXAL),TRINITY CROSSFIRE,japanese,k.nock,k.nock in a wedge,doujinshi,yu-gi-oh zexal,"anna kouzuki, yuma tsukumo, vector","big breasts, group, mind control, double penetration, sole female",38,2020-06-01 04:12:43,2020-06-01 11:12:43,2025-03-04 11:56:25
315144,[Hidemaru] Yurase Bikyonyuu! Hataraku J-Cup Ch. 1-9 [Digital],[英丸] 揺らせ美巨乳！働くＪカップ  第1-9話 [DL版],Yurase Bikyonyuu! Hataraku J9,japanese,hidemaru,,manga,,,"milf, big breasts, full censorship, glasses, story arc, nakadashi, ahegao, apron, paizuri, fingering, blowjob, sole male, ponytail",168,2020-06-01 06:23:35,2020-06-01 13:23:35,2025-03-04 11:56:26
315145,[KAZAMA DoJo (Mucc)] Rikujoubu no Otonashii Senpai no Yowami o Nigitta | 抓住田径队的老实学姐的把柄咯 [Chinese] [listen to yourself×swordman联合汉化] [Digital],[風間道場 (ムック)] 陸上部のおとなしい先輩の弱みを握った [中国翻訳] [DL版],Rikujoubu no Otonashii Senpai no Yowami o Nigitta | 抓住田径队的老实学姐的把柄咯,"translated, chinese",mucc,kazama dojo,doujinshi,original,,"big breasts, huge breasts, full color, blackmail, sole female, beauty mark, ponytail",27,2020-06-01 06:26:00,2020-06-01 13:26:00,2025-03-04 11:56:27
315146,[Akiha@] Akiha@ JK Soushuuhen [Digital],[あきは@] あきは@JK総集編 [DL版],Akiha@ JK Soushuuhen,japanese,"akiha at, akiha",,doujinshi,original,,"handjob, big breasts, unusual pupils, cunnilingus, group, glasses, netorare, schoolgirl uniform, prostitution, nakadashi, anal, sex toys, dark skin, x-ray, footjob, defloration, masked face, drugs, incest, double penetration, gyaru, paizuri, bukkake, mind break, mosaic censorship, rape, sister, dilf, daughter, blowjob, big penis, bbm, missing cover, hidden sex, soushuuhen",112,2020-06-01 14:00:51,2020-06-01 21:00:51,2025-03-04 11:56:28
315147,[Akiha@] Tokonatsu Resort Nangoku Musume to NTR Sex [Digital],[あきは@ ] 常夏リゾート 南国娘とNTRセックス [DL版],Tokonatsu Resort Nangoku Musume to NTR Sex,japanese,"akiha at, akiha",,doujinshi,original,,"maid, sweating, kissing, big breasts, swimsuit, netorare, cheating, urination, nakadashi, sleeping, dark skin, bikini, x-ray, defloration, tanlines, stockings, fingering, blowjob, sole male, hidden sex",36,2020-06-01 14:03:30,2020-06-01 21:03:30,2025-03-04 11:56:29
315148,[Akiha@] Kamimachi Kansai Musume Kimeseku Choukyou [Digital],[あきは@ ] 神待ち関西娘キメセク調教 [DL版],Kamimachi Kansai Musume Kimeseku Choukyou,japanese,akiha at,,doujinshi,original,,"business suit, big breasts, schoolgirl uniform, prostitution, nakadashi, bondage, drugs, dilf, big penis, sole female",25,2020-06-01 14:05:36,2020-06-01 21:05:36,2025-03-04 11:56:30
315149,[Akiba Maou (Akiha@)] Hitozuma Netorare Sex Life [Digital],[秋葉魔王 (あきは@)] 人妻寝取ラレセックスライフ [DL版],Hitozuma Netorare Sex Life,japanese,"akiha at, akiha",akiba maou,doujinshi,original,,"business suit, handjob, sweating, big breasts, old man, garter belt, cunnilingus, mmf threesome, netorare, urination, nakadashi, anal, hairy, x-ray, drugs, double penetration, lactation, stockings, paizuri, filming, dilf, blowjob",50,2020-06-01 14:09:38,2020-06-01 21:09:38,2025-03-04 11:56:30
315150,[Takahama Tarou] Hengen Souki Shine Mirage THE COMIC EPISODE 1-6  [Chinese] [退魔大叔个人汉化],[でぃふぃーと×高浜太郎] 変幻装姫シャインミラージュ THE COMIC EPISODE 1-6 [中国翻訳],Hengen Souki Shine Mirage THE COMIC EPISODE 1-6,"translated, chinese",takahama tarou,,manga,,,"futanari, big breasts, spanking, magical girl, story arc, ahegao, ryona, anal, bondage, stockings, bodysuit, gokkun, gothic lolita, rape, leotard, blowjob, dick growth, blindfold, ponytail, twintails",140,2020-06-01 14:38:52,2020-06-01 21:38:52,2025-03-04 11:56:32
