ID,EN_TITLE,JP_TITLE,CLEAN_TITLE,LANGUAGE,ARTIST,GROUP_NAME,CATEGORY,PARODY,CHARACTER,TAGS,PAGES,UPLOAD_DATE,FORMATTED_DATE,SCRAPED_DATE
503465,COMIC Shingeki 2024-05 [Digital],COMIC 真激 2024年5月号 [DL版],COMIC Shingeki 2024-05,japanese,"takuwan, shikigami kuroko, agata, yoshida, fukuguri yuuto, kizaru, futaba yae, denchi, tsutsumori, ryokurin, drossel, samazuka mashio, fetio",,manga,,,"maid, milf, big breasts, swimsuit, time stop, group, full censorship, glasses, netorare, cheating, schoolgirl uniform, anthology, nakadashi, anal, niece, ffm threesome, sleeping, lolicon, defloration, incest, tanlines, stockings, sister, blowjob, shotacon, twintails, anal intercourse",453,2024-04-01 00:42:30,2024-04-01 07:42:30,2025-03-06 14:31:36
503466,[Oneekyou (ML)] Ixioran Shintai Kensa-roku ACT.2 (Birdy the Mighty) [Digital],[御姉狂 (ML)] イクシオラ身体検査録 ACT.2 (鉄腕バーディー) [DL版],Ixioran Shintai Kensa-roku ACT.2,japanese,ml,oneekyou,doujinshi,birdy the mighty,birdy cephon altera,"dark skin, full color, small breasts, leotard, impregnation, sole female, sole male, bald",26,2024-04-01 00:44:50,2024-04-01 07:44:50,2025-03-06 14:31:37
503467,[NCP] Appli de Seishori Touban ni Sarechatta Fuuki Iinchou. Ue Kara Mesen no Majimena Iinchou ga Danshi no Seieki o Uketomeru Dake no Sonzai ni Narisagaru [Chinese] [MacTL個人翻譯],[NCP] アプリで性処理当番にされちゃった風紀委員長。上から目線の真面目な委員長が男子の精液を受け止めるだけの存在に成り下がる [中国翻訳],Appli de Seishori Touban ni Sarechatta Fuuki Iinchou. Ue Kara Mesen no Majimena Iinchou ga Danshi no Seieki o Uketomeru Dake no Sonzai ni Narisagaru,"translated, chinese",,ncp,doujinshi,original,,"big breasts, schoolgirl uniform, harem, mind control, full color",22,2024-04-01 00:46:59,2024-04-01 07:46:59,2025-03-06 14:31:38
503468,(C103) [Samurai Ninja GREENTEA] Trouble na Oppai -Oshi ni Yowai JK Kanojo-san- Ouchi Date Hen | 麻煩滿當當的胸部 ~沒有威嚴的JK女朋友~ (To LOVE-Ru) [Chinese],(C103) [サムライ忍者GREENTEA] とらぶるなおっぱい ‐押しに弱いJK彼女さん‐ おうちデート編 (To LOVEる -とらぶる-) [中国翻訳],Trouble na Oppaisan- Ouchi Date Hen | 麻煩滿當當的胸部,"translated, chinese",,samurai ninja greentea,doujinshi,to love-ru,yui kotegawa,"big breasts, schoolgirl uniform, sole female, sole male, extraneous ads",18,2024-04-01 00:48:34,2024-04-01 07:48:34,2025-03-06 14:31:39
503469,[koinu computer (Motoyon)] Anzen (Blue Archive) [Chinese] [Digital],[koinu computer (基4)] あんぜん (ブルーアーカイブ) [中国翻訳] [DL版],Anzen,"translated, chinese",motoyon,koinu computer,doujinshi,blue archive,"hanako urawa, sensei","full color, mosaic censorship, sole female, sole male, extraneous ads, halo",18,2024-04-01 00:50:12,2024-04-01 07:50:12,2025-03-06 14:31:39
503470,(C102) [Kashiwa-ya (Hiyo Hiyo)] Sailor Moon de NTR Sex! (Bishoujo Senshi Sailor Moon) [Chinese],(C102) [かしわ屋 (ひよひよ)] セラハメムーンでNTRセックス! (美少女戦士セーラームーン) [中国翻訳],Sailor Moon de NTR Sex!,"translated, chinese",hiyo hiyo,kashiwa-ya,doujinshi,sailor moon,sailor moon,"magical girl, group, sole female, extraneous ads",17,2024-04-01 00:51:41,2024-04-01 07:51:41,2025-03-06 14:31:40
503471,[Sashimi] Uwasa no Koushuunyuu Beit (COMIC ExE 45) [Chinese] [Digital],[さしみ] 噂の高収入バイト (コミック エグゼ 45) [中国翻訳] [DL版],Uwasa no Koushuunyuu Beit,"translated, chinese",sashimi,,manga,,,"milf, full censorship, dark skin, dilf, bbm, sole female, sole male, extraneous ads",33,2024-04-01 00:54:37,2024-04-01 07:54:37,2025-03-06 14:31:40
503472,[St. Rio (Kitty)] Netori Netorare Toshiue Cosplayer-tachi no Yuuwaku (Bishoujo Senshi Sailor Moon) [Chinese],[聖リオ (キ帝ィ)] 寝取り寝取られ年上コスプレイヤー達の誘惑 (美少女戦士セーラームーン) [中国翻訳],Netori Netorare Toshiue Cosplayer-tachi no Yuuwaku,"translated, chinese",kitty | urawaza kimeru,st. rio,doujinshi,sailor moon | bishoujo senshi sailor moon,"sailor jupiter | makoto kino, sailor mercury | ami mizuno","magical girl, x-ray, multi-work series, tiara, mosaic censorship, ponytail, extraneous ads",51,2024-04-01 00:58:36,2024-04-01 07:58:36,2025-03-06 14:31:41
503473,[Kinomoto Anzu] Kenshinteki na Imouto (COMIC LO 2021-04) [Chinese] [Digital],[きのもと杏] 献身的な妹 (COMIC LO 2021年4月号) [中国翻訳] [DL版],Kenshinteki na Imouto,"translated, chinese",kinomoto anzu,,manga,,,"glasses, schoolgirl uniform, lolicon, incest, sister, sole female, sole male, twintails, extraneous ads",28,2024-04-01 04:00:23,2024-04-01 11:00:23,2025-03-06 14:31:42
503474,[Reigaros] Scout Trap (COMIC Reboot Vol. 19) [Chinese] [Digital],[れいがろす] スカウトトラップ (コミックリブート Vol.19) [中国翻訳] [DL版],Scout Trap,"translated, chinese",reigaros,,manga,,,"schoolgirl uniform, dark skin, hair buns, extraneous ads",27,2024-04-01 04:02:45,2024-04-01 11:02:45,2025-03-06 14:31:43
503475,[Hayake] Iyagaru Imoto wo Oshitaoshite Iroiro to H na Koto wo Shitai! [Digital],[はやけ] 嫌がる妹を押し倒してイロイロとえっちなことをしたい! [DL版],Iyagaru Imoto wo Oshitaoshite Iroiro to H na Koto wo Shitai!,japanese,hayake,,manga,,,"inseki, swimsuit, cunnilingus, emotionless sex, masturbation, shimapan, brother, dark skin, lolicon, exhibitionism, defloration, incest, tanlines, tankoubon, oppai loli, fingering, rape, sister, teacher, bloomers, blackmail, school swimsuit, inverted nipples, twintails, domination loss, school gym uniform",183,2024-04-01 04:40:47,2024-04-01 11:40:47,2025-03-06 14:31:43
503476,[Kouchaya (Ootsuka Kotora)] HEAVEN'S DRIVE Soushuuhen (Fate/Grand Order) [Chinese] [黑锅汉化组] [Ongoing],[紅茶屋 (大塚子虎)] HEAVEN'S DRIVE 総集編 (Fate/Grand Order) [中国翻訳] [進行中],HEAVEN'S DRIVE Soushuuhen,"translated, chinese",ootsuka kotora,kouchaya,doujinshi,fate grand order,"gudao, nitocris","nakadashi, anal, dark skin, sole male",15,2024-04-01 04:42:16,2024-04-01 11:42:16,2025-03-06 14:31:44
503477,[O ni mori yukke] Kanzen muketsu no puraimari (One Piece),,Kanzen muketsu no puraimari,japanese,,,doujinshi,"one piece, original",trafalgar law,"sole female, sole male",13,2024-04-01 04:43:36,2024-04-01 11:43:36,2025-03-06 14:31:45
503478,[Marushamo] Ore no Seiheki ga Kouhai ni Baretara Kouhai mo Onaji Seiheki datta 2-5  [Ongoing],俺の性癖が後輩にバレたら後輩も同じ性癖だった 2-5,Ore no Seiheki ga Kouhai ni Baretara Kouhai mo Onaji Seiheki datta 2-5,japanese,marushamo,,doujinshi,original,,"shrinking, giantess, miniguy",46,2024-04-01 04:47:13,2024-04-01 11:47:13,2025-03-06 14:31:45
503479,[Mist Night (Co_Ma)] Poke Hell Monsters Ep.5  Part 01-02 (Cynthia) (Pokémon) [English],,Poke Hell Monsters Ep.5  Part 01-02,english,co ma | arniro,mist night,doujinshi,pokemon | pocket monsters,cynthia,"milking, monster, multi-work series, tentacles, eye-covering bang",15,2024-04-01 04:48:31,2024-04-01 11:48:31,2025-03-06 14:31:46
503480,[Mist Night (Co_Ma)] Poke Hell Monsters Ep.5  Part 01-02 (Cynthia) (Pokémon),,Poke Hell Monsters Ep.5  Part 01-02,japanese,co ma,mist night,doujinshi,pokemon,cynthia,"milking, bondage, multi-work series, tentacles, bbm, eye-covering bang",15,2024-04-01 04:50:03,2024-04-01 11:50:03,2025-03-06 14:31:47
503481,"[Story Circle (Seto Kouhei, Tonari)] Ojou-sama Gakkou ni Onna Kyoushi toshite Funin Shita Ore to Futanari Ojou-sama 3 [Chinese] [个人汉化] [Digital]",[Story Circle (瀬戸こうへい、隣)] お嬢様学校に女教師として赴任した俺とフタナリお嬢様3  [中国翻訳] [DL版],Ojousama 3,"translated, chinese",tonari,story circle,doujinshi,original,,"maid, futanari, pregnant, lolicon, yuri, multi-work series, pantyhose, fingering, impregnation, dickgirl on dickgirl, gender change, full-packaged futanari, dickgirl on female",38,2024-04-01 04:53:03,2024-04-01 11:53:03,2025-03-06 14:31:48
503482,[Okina] Hina-chan Choukyou Nikki [Ongoing],[OKINA] 陽菜ちゃん調教日記 [進行中],Hina-chan Choukyou Nikki,japanese,okina,,doujinshi,original,,"kissing, gag, cunnilingus, nakadashi, anal, sex toys, bondage, wooden horse, dark skin, lolicon, x-ray, full color, rape, collar, shibari, slave, sole female, sole male, tail plug, twintails, focus anal, anal intercourse, crying",44,2024-04-01 05:02:59,2024-04-01 12:02:59,2025-03-06 14:31:48
503483,[Inja no Kuruwa (Huracan)] Toraware no Shimai (Dragon Quest IV) [Digital],[陰者の廓 (うらかん)] 囚われの姉妹 (ドラゴンクエストIV)  [DL版],Toraware no Shimai,japanese,huracan,inja no kuruwa,doujinshi,dragon quest iv,"meena, maya","big breasts, group, bondage, monster, dark skin, mind break, rape",29,2024-04-01 05:05:24,2024-04-01 12:05:24,2025-03-06 14:31:49
503484,(C100) [ONEGROSS (144)] Choukou Inbou -Beat inflation- LV4EXTRA (Choukou Tenshi Escalayer) [Chinese] [可乐不咕鸟联合汉化],(C100) [ONEGROSS (いちよんよん)] 超昂淫膨-Beat inflation-LV4EXTRA (超昂天使エスカレイヤー) [中国翻訳],Choukou InbouLV4EXTRA,"translated, chinese",144,onegross,doujinshi,choukou tenshi escalayer,,"scat, personality excretion",13,2024-04-01 05:06:37,2024-04-01 12:06:37,2025-03-06 14:31:50
503485,[Kusarikake Melon (Shika Miso.)] tooth GAM (Touhou Project) [Chinese] [超級雅木茶] [Digital],[クサリカケメロン (鹿味噌。)] tooth GAM (東方Project)  [中国翻訳] [DL版],tooth GAM,"translated, chinese",shika miso,kusarikake melon,doujinshi,touhou project,,"unusual teeth, impregnation",25,2024-04-01 05:08:52,2024-04-01 12:08:52,2025-03-06 14:31:50
503486,"[Abio4, Bangkki] Sextudy Group (1-110) [English] [Complete]",,Sextudy Group,"english, translated",,,manga,,,"cum swap, milf, sweating, kissing, virginity, leg lock, big breasts, garter belt, gag, layer cake, unusual pupils, mmf threesome, group, full censorship, glasses, netorare, story arc, nakadashi, ahegao, anal, ffm threesome, harem, exhibitionism, defloration, full color, double penetration, tanlines, stockings, bride, swinging, paizuri, lingerie, fingering, teacher, hotpants, inverted nipples, blowjob, big penis, collar, webtoon, beauty mark, ponytail, twintails, thick eyebrows, gloves, hair buns, very long hair, multimouth blowjob, anal intercourse, exposed clothing",800,2024-04-01 06:34:42,2024-04-01 13:34:42,2025-03-06 14:31:51
503487,[Okomeya-san (Mochimugi Genmai)] Iku-chan to! (THE IDOLM@STER MILLION LIVE!) [Digital],[おこめやさん (もちむぎ玄米)] 育ちゃんと！ (アイドルマスター ミリオンライブ!) [DL版],Iku-chan to!,japanese,,,doujinshi,the idolmaster,"producer, iku nakatani","kissing, nakadashi, lolicon, x-ray, sole female, sole male",19,2024-04-01 06:39:26,2024-04-01 13:39:26,2025-03-06 14:31:52
503488,[Ruutyan] It seems like a Tokyo girl is having raw sex with a hobo… [English] [Gagak_Ireng],[るち餡] トー横女子がホームレスと生中出しセックスするらしい… [英訳],It seems like a Tokyo girl is having raw sex with a hobo…,"english, translated",ruutyan,,doujinshi,original,,"old man, nakadashi, drugs, long tongue, mosaic censorship, blowjob, sole female, sole male, twintails, mouth mask",8,2024-04-01 06:40:23,2024-04-01 13:40:23,2025-03-06 14:31:53
503489,[Kuga Tsuniya] Medusa Dorei o Katta,[玖珂ツニヤ] メドゥーサ奴隷を買った,Medusa Dorei o Katta,japanese,kuga tsuniya,,doujinshi,original,,"maid, monster girl, snake girl, dark skin, mosaic censorship, blowjob, christmas, blindfold, collar, slave, sole female",129,2024-04-01 06:50:26,2024-04-01 13:50:26,2025-03-06 14:31:53
503490,[MeowWithMe] Final Fantasy 7: Honey Bee Inn,,Final Fantasy 7: Honey Bee Inn,english,meowwithme,,doujinshi,final fantasy vii,"cloud strife, tifa lockhart","handjob, transformation, condom, bondage, shemale, full color, breast expansion, rape, gender bender, feminization, gender morph",33,2024-04-01 06:53:36,2024-04-01 13:53:36,2025-03-06 14:31:54
503491,Tagame Gengoroh] B.S.B. Big Sir's Bitches : A Farmer - In the Case of Ted Sterling[English] [Digital],,Tagame Gengoroh] B.S.B. Big Sir's Bitches : A Farmer - In the Case of Ted Sterling,english,tagame gengoroh,,doujinshi,original,,"kissing, orc, group, masturbation, nakadashi, ahegao, anal, monster, males only, double penetration, yaoi, gaping, bukkake, mind break, mosaic censorship, rape, dilf, blowjob, muscle, big penis, bbm, stomach deformation, facial hair, anal intercourse",45,2024-04-01 06:57:08,2024-04-01 13:57:08,2025-03-06 14:31:54
503492,[Takeda Hiromitsu] Kouhai Otaku Poilice Zenpen[流砂xChineseHerbalTea汉化],[武田弘光] 後輩オタポリス前編[中国翻訳],Kouhai Otaku Poilice Zenpen,"translated, chinese",takeda hiromitsu,,doujinshi,original,,"sweating, big breasts, glasses, netorare, big ass, nakadashi, ahegao, huge breasts, hairy, policewoman, full color, big areolae, stockings, mind break, dilf, inverted nipples, blowjob, big penis, chikan, bald, gloves, exposed clothing",10,2024-04-01 06:58:13,2024-04-01 13:58:13,2025-03-06 14:31:55
