ID,EN_TITLE,JP_TITLE,CLEAN_TITLE,LANGUAGE,ARTIST,GROUP_NAME,CATEGORY,PARODY,CHARACTER,TAGS,PAGES,UPLOAD_DATE,FORMATTED_DATE,SCRAPED_DATE
175413,Monthly Vitaman 2016-09,月刊 ビタマン 2016年9月号,Monthly Vitaman 2016-09,japanese,"momonosuke, asamori mizuki, kobayashi takumi, kijitora nukodi, shigaoka touki, fujisaka kuuki, atori k, azuma taira",,manga,,,"big breasts, garter belt, group, glasses, anthology, lolicon, waitress, shotacon",254,2016-10-01 00:30:25,2016-10-01 07:30:25,2025-03-02 10:02:19
175414,COMIC Penguin Club 2016-09,COMIC ペンギンクラブ 2016年9月号,COMIC Penguin Club 2016-09,japanese,"mita kurumi, kumada, asagi ryu, tanizakura shidare, maruta, taishinkokuoh anton, mutsuki, ameya kirica, arsenal, 100yen locker, fujiwara shunichi, amayumi, hayano rinta",,manga,,,"milf, big breasts, swimsuit, group, glasses, anthology, ffm threesome, tracksuit, bikini, yuri, incest, tanlines, stockings, sister, shotacon",246,2016-10-01 01:30:30,2016-10-01 08:30:30,2025-03-02 10:02:20
175417,(C90) [Kusari Caterpillar (Yoshiron)] C90 Copyshi [Chinese] [無邪気漢化組],(C90) [鎖キャタピラ (よしろん)] C90コピー誌 [中国翻訳],C90 Copyshi,"translated, chinese",yoshiron,kusari caterpillar,doujinshi,kuromukuro,,"big breasts, swimsuit, footjob, multi-work series",9,2016-10-01 04:38:25,2016-10-01 11:38:25,2025-03-02 10:02:22
175418,[Inumiso] Darkness Hound 3 [English] [Digital],[イヌミソ] Darkness Hound 3 [英訳] [DL版],Darkness Hound 3,"english, translated",,inumiso,doujinshi,,,"ahegao, anal, scanmark, males only, yaoi, drunk",31,2016-10-01 04:40:47,2016-10-01 11:40:47,2025-03-02 10:02:23
175419,(C90) [Haitokukan] Touhou Deisuikan 6 Kumoi Ichirin (Touhou Project),(C90) [背徳漢] 東方泥酔姦6 雲居一輪 (東方Project),Touhou Deisuikan 6 Kumoi Ichirin,japanese,haitokukan,haitokukan,doujinshi,touhou project,ichirin kumoi,"big breasts, nakadashi, anal, drunk, paizuri, sole female, sole male",22,2016-10-01 04:42:35,2016-10-01 11:42:35,2025-03-02 10:02:24
175420,"(C88) [Nakayohi Mogudan (Mogudan)] Omakebon ""Kagerou"" Vol 01 (THE IDOLM@STER, Love Live!, Neon Genesis Evangelion) [Chinese] [闲来无事个人汉化]",(C88) [なかよひモグダン (モグダン)] おまけ本 「陽炎」 VOL01 (アイドルマスター、ラブライブ!、新世紀エヴァンゲリオン) [中国翻訳],"Omakebon ""Kagerou"" Vol 01","translated, chinese",mogudan,nakayohi mogudan,doujinshi,,,"big breasts, group, big ass, full color",6,2016-10-01 04:44:29,2016-10-01 11:44:29,2025-03-02 10:02:24
175421,(SC65) [Hirahira (Hirari)] Game Gaisha no Shachiku-chan (NEW GAME!) [English],(サンクリ65) [ひらひら (ひらり)] ゲーム会社の社畜ちゃん (NEW GAME!) [英訳],Game Gaisha no Shachiku-chan,"english, translated",hirari,hirahira,doujinshi,new game,aoba suzukaze,"glasses, full color, sole female, sole male",12,2016-10-01 04:45:50,2016-10-01 11:45:50,2025-03-02 10:02:25
175422,[Mirukomi (PRIMIL)] Let's Nantoka (Clover Point) [Chinese] [CE家族社] [2011-07-01],[みるこみ (PRIMIL)] Let's なんとか (Clover Point) [中国翻訳] [2011年7月1日],Let's Nantoka,"translated, chinese",primil,mirukomi,doujinshi,clover point,,"lolicon, incest, sister, sole female, sole male",27,2016-10-01 04:52:32,2016-10-01 11:52:32,2025-03-02 10:02:26
175423,(C90) [Imomuya Honpo - Singleton (Azuma Yuki)] Tsurarete GO! [Chinese] [CE家族社],(C90) [いもむや本舗 - Singleton (あずまゆき)] 釣られてGO! [中国翻訳],Tsurarete GO!,"translated, chinese",azuma yuki,imomuya honpo,doujinshi,pokemon,,"group, ffm threesome, lolicon, oppai loli, sole male",27,2016-10-01 04:59:43,2016-10-01 11:59:43,2025-03-02 10:02:27
175424,[Waffle Doumeiken (Tanaka Decilitre)] Kimi no Naka. (Kimi no Na wa.) [Chinese] [CE家族社],[ワッフル同盟犬 (田中竕)] 君のナカ。 (君の名は。) [中国翻訳],Kimi no Naka.,"translated, chinese",tanaka decilitre,waffle doumeiken,doujinshi,kimi no na wa.,"mitsuha miyamizu, taki tachibana","schoolboy uniform, schoolgirl uniform, defloration, sole female, sole male",15,2016-10-01 05:00:42,2016-10-01 12:00:42,2025-03-02 10:02:27
175425,[i - musu Aki] toro ma n sutairu + tora no ana rīfuretto,(成年コミック) [いーむす・アキ] とろまんスタイル + とらのあなリーフレット,toro ma n sutairu + tora no ana rīfuretto,japanese,e-musu aki,,manga,,,"big breasts, group",252,2016-10-01 05:22:42,2016-10-01 12:22:42,2025-03-02 10:02:28
