ID,EN_TITLE,JP_TITLE,CLEAN_TITLE,LANGUAGE,ARTIST,GROUP_NAME,CATEGORY,PARODY,CHARACTER,TAGS,PAGES,UPLOAD_DATE,FORMATTED_DATE,SCRAPED_DATE
318840,[tcnc (Serizawa Nae)] IkoMume Sukebe Paper (Koutetsujou no Kabaneri) [English] [biribiri] [Digital],[tcnc (芹澤ナエ)] いこむめスケベペーパー (甲鉄城のカバネリ) [英訳] [DL版],IkoMume Sukebe Paper,"english, translated",serizawa nae,tcnc,doujinshi,koutetsujou no kabaneri,"mumei, ikoma",sole male,4,2020-07-01 00:00:47,2020-07-01 07:00:47,2025-03-04 12:46:37
318841,[Hoshinatenpo (Hoshina)] Ryoujoku Suru Yo! (Kimetsu no Yaiba),[保科店舗 (ほしな)] りょうじょくするよ！ (鬼滅の刃),Ryoujoku Suru Yo!,japanese,hoshina,hoshinatenpo,doujinshi,kimetsu no yaiba,shinobu kochou,"gag, schoolgirl uniform, bondage, rape, sole female",18,2020-07-01 00:02:17,2020-07-01 07:02:17,2025-03-04 12:46:38
318842,(C97) [Imomuya Honpo - Singleton (Azuma Yuki)] Ayamachi wa Himegoto no Hajimari [English],(C97) [いもむや本舗 - Singleton (あずまゆき)] 過ちは秘事のはじまり [英訳],Ayamachi wa Himegoto no Hajimari,"english, translated",azuma yuki,"singleton, imomuya honpo",doujinshi,original,,"group, schoolgirl uniform, harem, lolicon, multi-work series, teacher, sole male, twintails",31,2020-07-01 00:08:50,2020-07-01 07:08:50,2025-03-04 12:46:39
318843,(COMIC1☆14) [Camrism (Kito Sakeru)] Oppai Highway - Onee-san no Kenkyuu (Penguin Highway) [English] [Kaijuko],(COMIC1☆14) [カムリズム (鬼頭サケル)] おっぱいハイウェイ お姉さんの研究 (ペンギン・ハイウェイ) [英訳],Oppai Highwaysan no Kenkyuu,"english, translated",kito sakeru,camrism,doujinshi,penguin highway,,"big breasts, cunnilingus, nakadashi, phimosis, footjob, paizuri, smell, blowjob, shotacon, chikan, sole female, sole male",27,2020-07-01 00:13:59,2020-07-01 07:13:59,2025-03-04 12:46:40
318844,[Urakata Honpo (SINK)] MILF CRISIS PreMama NTR Collection (Ongoing),[裏方本舗 (SINK)] MILF CRISIS プリママ NTR 集 (進行中),MILF CRISIS PreMama NTR Collection,japanese,sink,urakata honpo,doujinshi,pretty cure,,"milf, big breasts, piercing, group, glasses, netorare, cheating, double blowjob, ahegao, sex toys, mother, hairy, gyaru-oh, full color, rimjob, hairy armpits, blowjob, body writing",48,2020-07-01 00:17:59,2020-07-01 07:17:59,2025-03-04 12:46:41
318845,Mila Ja?,,Mila Ja?,english,,,doujinshi,,,"big breasts, schoolgirl uniform, replaced, nakadashi, x-ray, blowjob, deepthroat, sole female, sole male",15,2020-07-01 00:19:10,2020-07-01 07:19:10,2025-03-04 12:46:41
318846,(C89) [Dream Halls! (Tsuzuri)] TAYORININARU ONNA. | A Dependable Woman (Granblue Fantasy) [English] [EHCOVE],(C89) [Dream Halls! (綴り)] 頼りになる人 (グランブルーファンタジー) [英訳],TAYORININARU ONNA. | A Dependable Woman,"english, translated",tsuzuri,dream halls,doujinshi,granblue fantasy,"silva, gran","handjob, big breasts, sole female, sole male",14,2020-07-01 00:20:22,2020-07-01 07:20:22,2025-03-04 12:46:42
318847,(Senjou no Otome-tachi 28) [JCM (Jimbo)] 506th. J.F.W. (Strike Witches),(戦場の乙女たち28) [JCM (ジンボ)] 506th. J.F.W. (ストライクウィッチーズ),506th. J.F.W.,japanese,,,doujinshi,strike witches,,"futanari, big penis",8,2020-07-01 00:21:13,2020-07-01 07:21:13,2025-03-04 12:46:43
318848,(C94) [Canchira Company (Gyudon.)] Futanari Actress! Nankyoku Shard hen! (Alice Gear Aegis),(C94) [カンチラカンパニー (ぎゅーどん。)] ふたなりアクトレズ！南極シャード偏！ (アリス・ギア・アイギス),Futanari Actress! Nankyoku Shard hen!,japanese,,,doujinshi,alice gear aegis,,"futanari, big breasts, swimsuit, milking, nakadashi, ahegao, anal, dark skin, lactation, dickgirl on dickgirl, dickgirls only, focus anal",28,2020-07-01 00:23:37,2020-07-01 07:23:37,2025-03-04 12:46:44
318849,"(C96) [Espoir no Okashi (Konozama, Kouji)] Seikishichou Leon","(C96) [エスポワールのおかし (このざま, 孝至)] 聖騎士長レオン",Seikishichou Leon,japanese,kouji,espoir no okashi,doujinshi,original,,"futanari, wings, big breasts, corruption, pregnant, nakadashi, ahegao, demon girl, mind control, blowjob, gender bender, big penis, crotch tattoo, horns, tail",44,2020-07-01 00:27:22,2020-07-01 07:27:22,2025-03-04 12:46:45
318850,[Tsurikichi-Doumei] Oppai Senshi to Fukkin Onna Senshi (Dragon's Crown),[釣りキチ同盟] オッパイ戦士と腹筋女戦士 (ドラゴンズクラウン),Oppai Senshi to Fukkin Onna Senshi,japanese,umedama nabu,tsurikichi doumei,doujinshi,dragons crown,"amazon, sorceress","futanari, big breasts, group, nakadashi, double penetration, bukkake, mosaic censorship, rape, tentacles, fisting, large tattoo",9,2020-07-01 00:28:14,2020-07-01 07:28:14,2025-03-04 12:46:45
318851,[Ryuukishi Uyahha] Tama-nee Gezai Fukuyou Date (ToHeart2) [English],[龍騎士ウヤッハ] タマ姉下剤服用デート (トゥハート2) [英訳],Tama-nee Gezai Fukuyou Date,"english, translated",,,doujinshi,toheart2,tamaki kousaka,"scat, big breasts, farting, big ass, solo action, twintails",14,2020-07-01 00:29:22,2020-07-01 07:29:22,2025-03-04 12:46:46
318853,[Karabakobaran. (Ujinashi)] Miru no wa Doku Fureru mo Doku (Prince of Tennis) [Digital],[空箱ばらん。 (うじなし)] 見るのは毒触れるも毒 (テニスの王子様) [DL版],Miru no wa Doku Fureru mo Doku,japanese,,,doujinshi,prince of tennis,"renji yanagi, genichirou sanada, seiichi yukimura","schoolboy uniform, group, anal, males only, yaoi, muscle",39,2020-07-01 00:36:27,2020-07-01 07:36:27,2025-03-04 12:46:48
318854,Bitch Collection (Dragon Ball) [English] [Reworked],,Bitch Collection,english,rikka kai,yuzuponz,doujinshi,"dragon ball z, dragon ball, dragon ball super","android 18, bulma briefs, android 21, kale, vados, cocotte, cus, marcarita, kakunsa, ribrianne, rozie","futanari, ahegao, scanmark, bikini",7,2020-07-01 00:37:11,2020-07-01 07:37:11,2025-03-04 12:46:49
318855,[Ryona's Station (YOSHITORA)] Brain Eater STAGE 2,[Ryona's Station (YOSHITORA)] ブレインイーターSTAGE2,Brain Eater STAGE 2,japanese,yoshitora,ryonas station,doujinshi,original,,"scat, pregnant, masturbation, urination, freckles, anal, brain fuck, lolicon, insect, guro, mind break, mosaic censorship, parasite, navel fuck",63,2020-07-01 00:50:06,2020-07-01 07:50:06,2025-03-04 12:46:50
318856,[Kaguya] Futanarijima ~The Queen of Penis~ Ch. 4 [English],[火愚夜] フタナリ島～The Queen of Penis～ 第4話 [英訳],FutanarijimaCh. 4,"english, translated",gekka kaguya,,manga,,,"futanari, big breasts, balls expansion, nakadashi, ahegao, big balls, multi-work series, inflation, huge penis, stockings, catfight, crown, big penis, stomach deformation, dickgirl on dickgirl, dickgirls only, ponytail, cumflation",34,2020-07-01 00:52:46,2020-07-01 07:52:46,2025-03-04 12:46:51
318857,"(C86) [Double Dice (Bun), Starmine18 (HANABi)] Toshishita JK ni Moteasoba Retai Hito Shuugou☆",(C86) [だぶるだいす (ぶん)、Starmine18 (HANABi)] 年下JKにもてあそばれたい人集合☆,Toshishita JK ni Moteasoba Retai Hito Shuugou☆,japanese,"bun, hanabi","starmine18, double dice",doujinshi,original,,"handjob, bdsm, big breasts, pegging, strap-on, unusual pupils, schoolgirl uniform, condom, anal, femdom, crossdressing, footjob, stockings, twintails, gloves",38,2020-07-01 00:55:58,2020-07-01 07:55:58,2025-03-04 12:46:53
318858,(C87) [Starmine18 (HANABi)] Mayu ni Ona Goods de Shiborareru Hon (THE IDOLM@STER CINDERELLA GIRLS),(C87) [Starmine18 (HANABi)] まゆにオナグッズで搾られる本 (アイドルマスター シンデレラガールズ),Mayu ni Ona Goods de Shiborareru Hon,japanese,hanabi,starmine18,doujinshi,the idolmaster,mayu sakuma,"onahole, prostate massage, femdom, pantyhose, sole female, clothed female nude male, gloves, no penetration",18,2020-07-01 00:57:32,2020-07-01 07:57:32,2025-03-04 12:46:53
318859,[Pd]云顶之灾下（League of Legends）[中文],[Pd]云顶之灾下（リーグ・オブ・レジェンズ）[中国语],云顶之灾下（League of Legends）,chinese,pd,,doujinshi,league of legends,,,24,2020-07-01 04:02:21,2020-07-01 11:02:21,2025-03-04 12:46:54
318860,"[Shunjou Shuusuke] Onegai, Sukoshi Yasumasete... ~Karada Torokeru Sex no Ato ni~ Ch. 2, 4 [English] [Raknnkarscans]",[春城秋介] お願い、少し休ませて…♡～カラダとろけるセックスの後に～ 第2、4話 [英訳],"Onegai, Sukoshi Yasumasete...Ch. 2, 4","english, translated",shunjou shuusuke,,manga,,,"milf, big breasts, cunnilingus, group, glasses, masturbation, cheating, schoolgirl uniform, facesitting, nakadashi, ffm threesome, femdom, hairy, x-ray, rimjob, smell, blowjob, big penis, sole male, ponytail",78,2020-07-01 04:08:37,2020-07-01 11:08:37,2025-03-04 12:46:55
318861,[rbooks (Hanekumo)] Dorei Seal ~ Hararetara Iinari! Juujun Gohoushi Harem [English] [Raknnkarscans],[rbooks (羽雲)] 奴隷シール～貼られたらいいなりっ!従順ご奉仕ハーレム [英訳],Dorei Seal ~ Hararetara Iinari! Juujun Gohoushi Harem,"english, translated",hanekumo,rbooks,doujinshi,original,,"big breasts, group, glasses, schoolgirl uniform, anal, sex toys, harem, yuri, mind control, full color, mosaic censorship, teacher, sole male, bisexual",50,2020-07-01 04:12:44,2020-07-01 11:12:44,2025-03-04 12:46:56
318862,[Hayo-Cinema (Etuzan Jakusui)] 1000 Yen Cut no Onee-san ni Suite Morau Hon. II [English] [Nisor] [Digital],[はよしねま (越山弱衰)] 1000円カットのおネエさんにスいてもらう本。II [DL版] [英訳],1000 Yen Cut no Onee-san ni Suite Morau Hon. II,"english, translated",etuzan jakusui,hayo-cinema,doujinshi,original,,"big breasts, glasses, big ass, prostitution, nakadashi, multi-work series, blowjob",20,2020-07-01 04:14:31,2020-07-01 11:14:31,2025-03-04 12:46:56
318863,"(COMIC1☆13) [7th;MINT (Senmen Kinuko, Shigeta)] LEOPARD; GULFSTREAM","(COMIC1☆13) [7th;Mint (洗面きぬ子, しげた)] LEOPARD; GULFSTREAM",LEOPARD; GULFSTREAM,japanese,"shigeta, midoriha mint",7th semicolon mint,doujinshi,original,,"nakadashi, lolicon, x-ray, full color, kemonomimi",14,2020-07-01 04:15:43,2020-07-01 11:15:43,2025-03-04 12:46:57
318864,Microne Magazine Vol.55 (Incomplete) [English] [Uncensored],,Microne Magazine Vol.55,"english, translated",,i-raf-you,manga,,,"handjob, big breasts, unbirth, facesitting, vore, lactation, paizuri, miniguy",20,2020-07-01 04:17:29,2020-07-01 11:17:29,2025-03-04 12:46:58
318865,[Nekodanshaku] Otonari Onee-chan (COMIC LO 2019-11) [English] [Brook09] [Digital],[猫男爵] おとなり♥お姉ちゃん (COMIC LO 2019年11月号) [英訳] [DL版],Otonari Onee-chan,"english, translated",nekodanshaku,,manga,,,"handjob, defloration, mosaic censorship, blowjob, shotacon, sole female, sole male",28,2020-07-01 04:23:38,2020-07-01 11:23:38,2025-03-04 12:46:59
